Names,Village,Monthly Income,Family Members,Connected to grid,Why not connected to grid?,Electricity available per day(in hrs),Electrical appliances,Mobile Charger(Wh),5W LED Torch,10W LED Torch,5W LED Bulb(Wh),10W LED Bulb(Wh),45W Fan(Wh),55W TV(Wh),130W Fridge(Wh),Source of fuel for  cooking,Electric meter,Electric bill of last month,Power cuts per week,Voltage problems if any,Worst months for service from the grid,Household members affected,Serious problems you experience with grid electricity,How often you pay for electricity bill,Who do you pay,How do you make your payment,Household members die because of the grid electricity,Solar devices,Why no Solar?,Solar Usage (Months),Cost of Solar,Savings after installing a solar light,Willing to shift to solar applicanes,Rechargeable batteries,Use of batteries,Cost of rechargeable battery,Electricity source to recharge the battery,Did you use KEROSENE/FUEL-BASED /CANDLE LIGHTING,Fuel source for LAMP,How often the [FUEL TYPE] available,How many months does it rain,Maximum temperature in Summer,Minimum temperature in Winter,Why no solar?,Capacity(Wh),Units Monthly,Capacity Tier,Availabilty Tier,Reliability Tier,Quality Tier,Affordability Tier,Legality Tier,Health & Safety Tier,Tier Ranking
Geoffrey Schmidt,Village 1,13652,7,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,LPG,Yes,322.75028,8,No Problem,"['September', 'November', 'June']","['Could not charge a phone', 'Could not cook']","['Maintenance/service problems', 'Unexpectedly high bills']",Monthly,Pre-paid meter card seller,Pay at the utility office,No,Yes,Already using,3-6 months,2226,502,Already using,No,NA,NA,NA,No,Diesel,Sometimes available,4,42,10,Initial investment is high,1210,36.3,3,4,4,5,5,5,5,3
Jeremy Hill,Village 1,5277,4,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,NA,NA,Shop,No,Kerosene,Rarely available,4,42,10,Initial investment is high,0,0,0,0,5,3,2,5,3,0
Danielle Stanton,Village 4,4290,3,Yes,Already Connected,5,4,15,10,0,20,40,0,0,0,LPG,Yes,130.52378,20,Long Power Cuts,"['October', 'January', 'December']","['Machines/appliances were damaged', 'Could not charge a phone']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Weekly,Community/village/municipality,Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1550,Shop,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,3,2,5,3,1
Gary Renova,Village 2,6288,6,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,Kerosene,Yes,160.42568,4,Fluctuations,"['August', 'January', 'March']","['Could not operate a household business', 'Could not cook']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Monthly,Community/village/municipality,Cash,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1722,Shop,No,Biogas,Sometimes available,4,42,10,No subsidies are provided,260,7.8,2,0,4,3,5,5,3,0
Alissa Carmley,Village 4,4764,2,Yes,Already Connected,5,3,15,10,0,20,0,0,0,0,LPG,Yes,123.68906,20,Long Power Cuts,"['September', 'August', 'March']","['Could not operate a household business', 'Could not cook']","['Maintenance/service problems', 'Unexpectedly high bills']",Monthly,Pre-paid meter card seller,Pay at the utility office,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,767,Grid,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,3,2,5,3,1
Jane Chaffee,Village 3,3694,3,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Lighting,469,Shop,Yes,NA,NA,4,42,10,Low income,0,0,0,0,5,3,2,5,3,0
Gloria Smith,Village 2,4093,2,Yes,Already Connected,3,3,10,5,0,10,0,0,0,0,Kerosene,Yes,113.2516,4,Electrical applicances getting affected,"['March', 'August', 'June']","['Could not cook', 'Could not operate a household business']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Monthly,Community/village/municipality,Pay at the utility office,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,756,Grid,Yes,NA,NA,4,42,10,Low income,25,0.75,1,0,4,3,2,5,3,0
Timothy Shuler,Village 2,8766,6,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,Kerosene,Yes,160.42568,4,Long Power Cuts,"['April', 'August', 'February']","['Could not charge a phone', 'Children could not study']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Weekly,Landlord,Cash,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1154,Grid,No,Diesel,Rarely available,4,42,10,Initial investment is high,260,7.8,2,0,4,3,5,5,3,0
Ida Trevino,Village 1,11483,8,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,NA,NA,Shop,No,Biogas,Sometimes available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
James Johnson,Village 1,7009,5,No,Connection cost is very high,22,5,30,0,20,50,80,540,0,0,Kerosene,No,239.02496,8,Electrical applicances getting affected,"['August', 'May', 'June']","['Could not charge a phone', 'Machines/appliances were damaged']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Diesel,Always available,4,42,10,No subsidies are provided,720,21.6,2,4,4,3,5,3,5,2
Shery Holleran,Village 4,12051,8,No,Connection cost is very high,5,9,15,0,40,40,40,180,220,650,LPG,No,318.47858,20,No Problem,"['September', 'October', 'August']","['Could not cook', 'Children could not study']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Pay at the utility office,No,Yes,Already using,1-3 months,1343,1267,Already using,Yes,Lighting,361,Solar,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,1185,35.55,3,2,3,5,5,3,5,2
Nelda Herring,Village 3,13233,8,Yes,Already Connected,4,9,15,0,40,40,40,180,220,520,LPG,Yes,296.26574,16,No Problem,"['June', 'November', 'May']","['Could not charge a phone', 'Machines/appliances were damaged']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,Landlord,Cash,No,Yes,Already using,6-12 months,1484,761,Already using,Yes,Appliances,733,Solar,No,Kerosene,Always available,4,42,10,No subsidies are provided,1055,31.65,3,2,3,5,5,5,5,2
Lois Woods,Village 3,6892,6,No,Can't afford electricity bill,4,7,15,0,20,40,40,180,220,0,LPG,No,203.99702,16,Electrical applicances getting affected,"['May', 'September', 'October']","['Could not charge a phone', 'Children could not study']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Cash,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1293,Shop,No,Kerosene,Sometimes available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,5,3,5,2
Rose Powell,Village 3,14295,8,Yes,Already Connected,4,9,15,0,40,40,40,180,220,520,Kerosene,Yes,296.26574,16,No Problem,"['February', 'April', 'August']","['Could not operate a household business', 'Could not cook']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Monthly,Landlord,Cash,No,Yes,Already using,3-6 months,890,1340,Already using,Yes,Lighting,1690,Solar,No,Kerosene,Always available,4,42,10,Initial investment is high,1055,31.65,3,2,3,5,5,5,5,2
Lisa Lee,Village 2,12060,8,No,Connection cost is very high,3,9,10,0,20,20,20,90,110,390,LPG,No,228.77288,4,Long Power Cuts,"['November', 'October', 'February']","['Could not cook', 'Children could not study']","['Maintenance/service problems', 'Unexpectedly high bills']",Weekly,No one (for free),Online,No,Yes,Already using,6-12 months,1490,1063,Already using,Yes,Appliances,1850,Solar,No,Diesel,Always available,4,42,10,No subsidies are provided,660,19.8,2,0,4,3,5,3,5,0
Deborah Young,Village 2,3124,2,No,Can't afford electricity bill,3,3,10,5,0,10,0,0,0,0,LPG,No,113.2516,4,Long Power Cuts,"['April', 'September', 'October']","['Could not operate a household business', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Monthly,No one (for free),Pay at the utility office,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1538,Grid,Yes,NA,NA,4,42,10,Low income,25,0.75,1,0,4,3,2,3,5,0
Percy Wang,Village 3,3462,3,No,Can't afford electricity bill,4,4,15,10,0,20,40,0,0,0,LPG,No,130.52378,16,No Problem,"['January', 'August', 'November']","['Could not operate a household business', 'Could not cook']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Cash,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1983,Shop,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,5,2,3,5,1
Josiah Morton,Village 4,6778,6,Yes,Already Connected,5,7,15,0,20,40,40,180,220,0,Kerosene,Yes,203.99702,20,Fluctuations,"['January', 'May', 'March']","['Could not charge a phone', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Monthly,Community/village/municipality,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1915,Grid,No,Diesel,Rarely available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,5,5,3,2
Gwendolyn Taylor,Village 2,8631,5,Yes,Already Connected,3,5,10,0,10,10,20,90,0,0,LPG,Yes,139.92152,4,Long Power Cuts,"['September', 'May', 'March']","['Could not cook', 'Children could not study']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Community/village/municipality,Cash,Yes,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,282,Shop,No,Diesel,Sometimes available,4,42,10,Initial investment is high,140,4.2,1,0,4,3,5,5,3,0
Andrew Singleton,Village 4,3287,2,No,Connection cost is very high,5,3,15,10,0,20,0,0,0,0,Kerosene,No,123.68906,20,No Problem,"['March', 'December', 'November']","['Could not charge a phone', 'Children could not study']","['Unexpectedly high bills', 'Maintenance/service problems']",Weekly,No one (for free),Pay at the utility office,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,837,Shop,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,5,2,3,5,1
Louise Halman,Village 2,4554,2,No,Can't afford electricity bill,3,3,10,5,0,10,0,0,0,0,Kerosene,No,113.2516,4,Fluctuations,"['December', 'November', 'October']","['Could not cook', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Online,Yes,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,675,Grid,Yes,NA,NA,4,42,10,Low income,25,0.75,1,0,4,3,2,3,3,0
Katie Blackwell,Village 3,5024,6,Yes,Already Connected,4,7,15,0,20,40,40,180,220,0,LPG,Yes,203.99702,16,No Problem,"['September', 'December', 'April']","['Could not charge a phone', 'Children could not study']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Monthly,Community/village/municipality,Cash,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1218,Shop,Yes,NA,NA,4,42,10,No subsidies are provided,515,15.45,2,2,3,5,2,5,3,2
Camille Carroll,Village 2,3224,3,Yes,Already Connected,3,4,10,5,0,10,20,0,0,0,Kerosene,Yes,123.68906,4,No Problem,"['March', 'December', 'May']","['Could not cook', 'Could not charge a phone']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Monthly,Pre-paid meter card seller,Online,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Lighting,558,Shop,Yes,NA,NA,4,42,10,Low income,45,1.35,1,0,4,5,2,5,5,0
Susana Weber,Village 2,9116,5,No,Connection cost is very high,3,5,10,0,10,10,20,90,0,0,Kerosene,No,139.92152,4,Long Power Cuts,"['April', 'August', 'June']","['Machines/appliances were damaged', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,No one (for free),Online,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,313,Shop,No,Diesel,Rarely available,4,42,10,Initial investment is high,140,4.2,1,0,4,3,5,3,3,0
Deborah Webster,Village 3,6434,5,No,Can't afford electricity bill,4,5,15,0,20,20,40,180,0,0,Kerosene,No,162.9887,16,Long Power Cuts,"['September', 'January', 'October']","['Could not charge a phone', 'Could not cook']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Cash,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1016,Shop,No,Diesel,Always available,4,42,10,No subsidies are provided,275,8.25,2,2,3,3,5,3,5,2
Barbara Scribner,Village 2,3554,2,Yes,Already Connected,3,3,10,5,0,10,0,0,0,0,LPG,Yes,113.2516,4,No Problem,"['October', 'April', 'August']","['Could not cook', 'Machines/appliances were damaged']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Community/village/municipality,Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1906,Shop,Yes,NA,NA,4,42,10,Low income,25,0.75,1,0,4,5,2,5,3,0
Lee Roach,Village 2,9140,4,Yes,Already Connected,3,5,10,0,10,10,20,90,0,0,LPG,Yes,139.92152,4,Long Power Cuts,"['September', 'April', 'June']","['Machines/appliances were damaged', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Weekly,Landlord,Pay at the utility office,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1740,Shop,No,Biogas,Always available,4,42,10,No subsidies are provided,140,4.2,1,0,4,3,5,5,3,0
Andrew Ritter,Village 3,5784,4,No,Connection cost is very high,4,5,15,0,20,20,40,180,0,0,Kerosene,No,162.9887,16,Fluctuations,"['September', 'January', 'August']","['Could not charge a phone', 'Could not cook']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Monthly,No one (for free),Online,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1684,Grid,Yes,NA,NA,4,42,10,Initial investment is high,275,8.25,2,2,3,3,2,3,3,2
Harvey Nixon,Village 4,5449,5,No,Connection cost is very high,5,5,15,0,20,20,40,180,0,0,Kerosene,No,162.9887,20,Fluctuations,"['March', 'April', 'June']","['Machines/appliances were damaged', 'Could not cook']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Lighting,282,Grid,Yes,NA,NA,4,42,10,Initial investment is high,275,8.25,2,2,3,3,2,3,5,2
Elbert Lechner,Village 1,6959,6,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,LPG,Yes,322.75028,8,No Problem,"['February', 'March', 'June']","['Could not cook', 'Could not charge a phone']","['Unexpectedly high bills', 'Maintenance/service problems']",Weekly,Landlord,Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Kerosene,Sometimes available,4,42,10,Initial investment is high,1210,36.3,3,4,4,5,5,5,3,3
Joseph Britton,Village 1,4695,2,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,NA,NA,Shop,No,Biogas,Always available,4,42,10,Low income,0,0,0,0,5,3,2,5,3,0
Cecile Blair,Village 1,8698,6,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,Kerosene,Yes,322.75028,8,No Problem,"['May', 'March', 'August']","['Could not cook', 'Children could not study']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Monthly,Pre-paid meter card seller,Pay at the utility office,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Biogas,Always available,4,42,10,No subsidies are provided,1210,36.3,3,4,4,5,5,5,3,3
Jason Fleenor,Village 1,5145,6,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,LPG,Yes,322.75028,8,Electrical applicances getting affected,"['June', 'October', 'May']","['Could not cook', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Monthly,Community/village/municipality,Pay at the utility office,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Biogas,Rarely available,4,42,10,No subsidies are provided,1210,36.3,3,4,4,3,2,5,5,2
Sue Lentz,Village 3,10939,8,Yes,Already Connected,4,9,15,0,40,40,40,180,220,520,Kerosene,Yes,296.26574,16,Fluctuations,"['August', 'June', 'April']","['Could not operate a household business', 'Machines/appliances were damaged']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Weekly,Pre-paid meter card seller,Online,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1391,Shop,No,Kerosene,Always available,4,42,10,Initial investment is high,1055,31.65,3,2,3,3,5,5,3,2
